Age,Hours_Worked_Per_Week,Mental_Health_Condition,gender,industry,Location,sleep_Quality,stress_Level,access_to_Mental_Health_Resource,physical_Activity,region
>42,33,ill,Female,IT,Remote,Good,Low,Yes,Daily,Oceania
22-32,33,ill,Male,Education,Onsite,Average,Low,No,Not At All,Europe
22-32,45,ill,Male,Healthcare,Onsite,Good,Medium,No,Not At All,Asia
22-32,23,fit,Other,Education,Hybrid,Poor,Medium,Yes,Daily,Europe
>42,52,fit,Other,Retail,Onsite,Good,Low,No,Daily,North America
>42,48,ill,Female,Finance,Remote,Good,Medium,Yes,Daily,South America
22-32,42,ill,Other,Education,Remote,Poor,High,Yes,Not At All,Oceania
22-32,49,ill,Other,IT,Remote,Good,Medium,No,Weekly,Asia
>42,24,ill,Male,Education,Onsite,Poor,High,No,Daily,Europe
32-42,59,fit,Female,Healthcare,Hybrid,Average,High,Yes,Not At All,Europe
32-42,48,ill,Other,Manufacturing,Remote,Good,High,No,Daily,Oceania
>42,55,fit,Male,Finance,Onsite,Poor,Medium,Yes,Not At All,South America
>42,56,ill,Male,Manufacturing,Remote,Good,Medium,No,Daily,Oceania
32-42,47,fit,Male,Finance,Remote,Good,Medium,No,Not At All,Europe
>42,49,ill,Male,Healthcare,Remote,Good,Medium,Yes,Not At All,North America
>42,42,ill,Other,Education,Remote,Poor,Medium,No,Not At All,Asia
32-42,57,ill,Other,Education,Onsite,Average,High,Yes,Not At All,South America
>42,32,ill,Other,Manufacturing,Onsite,Average,High,No,Not At All,North America
22-32,28,ill,Female,Consulting,Hybrid,Poor,Medium,No,Weekly,Africa
>42,24,ill,Female,Manufacturing,Remote,Good,Medium,No,Weekly,South America
>42,32,fit,Female,Consulting,Hybrid,Good,High,Yes,Daily,South America
>42,20,ill,Other,Consulting,Hybrid,Good,Low,No,Not At All,Europe
32-42,24,ill,Female,Finance,Hybrid,Good,High,Yes,Weekly,Europe
>42,52,ill,Female,Education,Remote,Average,High,No,Daily,Asia
22-32,53,ill,Other,Healthcare,Onsite,Good,Medium,Yes,Not At All,Africa
22-32,43,fit,Male,Manufacturing,Onsite,Poor,Medium,Yes,Daily,South America
32-42,56,ill,Female,Finance,Onsite,Good,Low,No,Daily,Asia
22-32,43,fit,Other,Healthcare,Remote,Poor,High,Yes,Weekly,Asia
22-32,40,ill,Other,Retail,Remote,Good,Medium,No,Daily,South America
32-42,22,fit,Male,IT,Hybrid,Good,High,Yes,Not At All,Asia
>42,45,ill,Female,Retail,Hybrid,Poor,Medium,No,Daily,Asia
22-32,21,ill,Other,Retail,Remote,Poor,Low,No,Weekly,Asia
>42,36,ill,Female,Manufacturing,Remote,Poor,Low,No,Not At All,Oceania
32-42,42,ill,Other,IT,Hybrid,Good,Low,Yes,Not At All,Asia
>42,42,ill,Other,Finance,Hybrid,Poor,High,No,Weekly,Oceania
22-32,42,ill,Male,Education,Hybrid,Good,Medium,No,Weekly,Europe
22-32,45,ill,Other,IT,Hybrid,Good,Low,No,Not At All,Africa
>42,59,ill,Other,Retail,Hybrid,Good,Medium,No,Daily,Africa
22-32,32,ill,Male,Finance,Onsite,Poor,Low,No,Weekly,Africa
>42,47,fit,Other,Consulting,Hybrid,Good,High,No,Weekly,South America
>42,44,ill,Male,Retail,Onsite,Good,High,No,Not At All,South America
>42,49,ill,Other,Healthcare,Remote,Good,High,No,Not At All,North America
>42,58,fit,Male,Manufacturing,Remote,Good,High,No,Weekly,North America
22-32,25,ill,Other,Healthcare,Hybrid,Average,Medium,No,Daily,Oceania
32-42,40,ill,Other,Healthcare,Hybrid,Average,Low,Yes,Not At All,North America
>42,27,ill,Other,Healthcare,Hybrid,Poor,High,No,Not At All,Asia
>42,44,ill,Other,Retail,Remote,Poor,High,No,Weekly,Africa
22-32,57,ill,Female,Retail,Remote,Good,High,No,Not At All,South America
32-42,60,ill,Male,IT,Onsite,Average,Medium,Yes,Not At All,Africa
32-42,53,fit,Other,Retail,Hybrid,Poor,High,No,Weekly,South America
>42,27,fit,Female,Consulting,Remote,Average,Low,No,Daily,South America
32-42,28,ill,Female,Retail,Hybrid,Average,Medium,No,Not At All,South America
>42,37,ill,Female,Healthcare,Hybrid,Good,High,No,Not At All,Africa
>42,36,fit,Other,Education,Onsite,Average,High,No,Not At All,Africa
22-32,22,ill,Male,Manufacturing,Onsite,Average,High,Yes,Weekly,North America
>42,46,fit,Female,Manufacturing,Remote,Good,High,Yes,Not At All,North America
>42,59,ill,Other,Manufacturing,Onsite,Good,Medium,Yes,Daily,South America
>42,24,fit,Other,IT,Onsite,Average,Low,No,Weekly,Oceania
>42,47,ill,Other,Finance,Hybrid,Average,Medium,Yes,Not At All,Asia
22-32,36,ill,Other,IT,Hybrid,Average,Medium,Yes,Not At All,Africa
>42,46,ill,Male,Finance,Remote,Poor,High,No,Not At All,Asia
32-42,53,fit,Other,Finance,Remote,Good,Medium,No,Not At All,Europe
22-32,57,ill,Female,IT,Hybrid,Average,Medium,No,Not At All,Europe
32-42,49,ill,Female,Healthcare,Remote,Good,High,Yes,Not At All,Asia
>42,54,ill,Female,Finance,Hybrid,Good,Low,No,Weekly,Europe
>42,23,ill,Female,Retail,Remote,Good,Medium,Yes,Daily,Asia
>42,23,ill,Female,Manufacturing,Remote,Good,Medium,Yes,Daily,Africa
>42,45,fit,Other,Healthcare,Hybrid,Average,High,Yes,Daily,Europe
32-42,21,ill,Other,Retail,Remote,Poor,High,Yes,Weekly,Europe
22-32,36,ill,Female,Finance,Onsite,Poor,High,Yes,Weekly,South America
>42,52,ill,Other,Retail,Onsite,Good,High,No,Weekly,Africa
>42,50,ill,Female,Healthcare,Onsite,Good,Medium,No,Weekly,Oceania
>42,45,ill,Female,Finance,Onsite,Poor,Low,No,Not At All,North America
>42,52,ill,Male,IT,Hybrid,Poor,Low,Yes,Not At All,South America
32-42,49,fit,Male,Manufacturing,Remote,Poor,High,No,Weekly,Asia
32-42,23,ill,Other,IT,Remote,Good,Low,Yes,Daily,Europe
>42,60,ill,Male,IT,Hybrid,Good,High,No,Not At All,North America
22-32,49,ill,Female,Consulting,Remote,Good,Medium,No,Not At All,Oceania
>42,34,ill,Male,Finance,Hybrid,Poor,Medium,Yes,Daily,North America
>42,31,fit,Female,Education,Hybrid,Poor,Low,Yes,Daily,South America
>42,56,ill,Other,IT,Hybrid,Poor,Low,No,Daily,Asia
>42,51,ill,Other,Finance,Remote,Average,Medium,No,Not At All,Oceania
22-32,20,ill,Female,Finance,Hybrid,Average,Low,Yes,Weekly,Africa
>42,48,ill,Female,Education,Remote,Good,Low,No,Daily,North America
>42,54,ill,Other,Healthcare,Hybrid,Average,Low,No,Weekly,Oceania
32-42,36,ill,Other,Finance,Onsite,Poor,Medium,No,Weekly,North America
>42,36,ill,Other,Healthcare,Remote,Poor,Low,No,Not At All,Oceania
22-32,39,fit,Female,Consulting,Hybrid,Good,Medium,Yes,Weekly,Europe
>42,49,ill,Female,Consulting,Hybrid,Good,Low,No,Not At All,North America
>42,53,ill,Male,Healthcare,Hybrid,Poor,High,Yes,Weekly,Europe
>42,50,fit,Other,Healthcare,Hybrid,Poor,Medium,No,Daily,Asia
>42,37,ill,Other,Healthcare,Remote,Poor,Medium,Yes,Not At All,Asia
>42,40,ill,Other,Healthcare,Remote,Average,Medium,Yes,Daily,Asia
>42,42,ill,Other,Education,Onsite,Good,Low,No,Daily,South America
22-32,48,ill,Male,IT,Onsite,Good,High,Yes,Daily,Asia
>42,41,ill,Other,Education,Onsite,Good,Low,No,Weekly,Oceania
>42,27,ill,Male,IT,Onsite,Average,Low,Yes,Weekly,South America
>42,21,ill,Female,Healthcare,Remote,Good,Medium,No,Daily,Oceania
>42,48,ill,Other,Finance,Hybrid,Good,Low,Yes,Weekly,Oceania
32-42,48,ill,Male,Retail,Remote,Good,Medium,No,Daily,Europe
>42,32,fit,Other,Education,Hybrid,Good,High,No,Weekly,Asia
22-32,49,ill,Other,Consulting,Hybrid,Good,Medium,No,Weekly,South America
>42,44,ill,Male,Retail,Hybrid,Average,Medium,Yes,Weekly,Oceania
32-42,23,ill,Male,Education,Remote,Poor,High,Yes,Weekly,Oceania
32-42,34,ill,Other,IT,Onsite,Average,Medium,Yes,Daily,Oceania
22-32,50,ill,Other,Healthcare,Remote,Poor,Low,No,Not At All,South America
>42,35,fit,Other,IT,Onsite,Poor,Medium,No,Weekly,Asia
>42,35,ill,Female,IT,Onsite,Good,Medium,No,Daily,Oceania
22-32,43,fit,Male,Retail,Onsite,Good,High,No,Weekly,South America
>42,20,fit,Other,Healthcare,Remote,Good,Low,No,Weekly,Asia
22-32,29,ill,Other,Consulting,Onsite,Poor,Medium,No,Weekly,Asia
22-32,26,ill,Male,Manufacturing,Hybrid,Average,High,Yes,Not At All,Europe
22-32,38,fit,Female,Consulting,Remote,Average,High,No,Weekly,North America
22-32,57,ill,Female,IT,Remote,Average,Medium,No,Daily,South America
22-32,58,ill,Female,Healthcare,Hybrid,Average,High,Yes,Weekly,North America
22-32,29,ill,Female,Education,Remote,Average,High,No,Weekly,Africa
>42,53,ill,Male,Retail,Remote,Poor,Low,No,Daily,Oceania
32-42,41,ill,Other,Manufacturing,Onsite,Poor,Low,No,Weekly,Asia
32-42,48,ill,Other,Finance,Remote,Average,Medium,Yes,Weekly,Africa
22-32,20,ill,Other,Healthcare,Remote,Poor,Low,Yes,Not At All,Oceania
32-42,44,ill,Other,Education,Hybrid,Poor,Medium,No,Daily,Europe
32-42,33,ill,Female,IT,Hybrid,Poor,High,No,Weekly,Europe
>42,41,ill,Male,Healthcare,Remote,Good,High,Yes,Daily,Europe
32-42,30,ill,Other,Manufacturing,Hybrid,Poor,High,No,Not At All,Asia
22-32,21,fit,Female,Finance,Remote,Average,Low,Yes,Daily,Asia
22-32,22,ill,Male,Manufacturing,Onsite,Good,High,Yes,Daily,North America
>42,32,ill,Male,Consulting,Hybrid,Good,Low,Yes,Weekly,South America
32-42,59,ill,Other,IT,Onsite,Poor,Medium,No,Daily,North America
>42,22,ill,Other,Finance,Hybrid,Good,Medium,Yes,Not At All,Asia
>42,50,fit,Other,Manufacturing,Hybrid,Poor,High,Yes,Daily,South America
32-42,49,fit,Other,Finance,Hybrid,Good,High,No,Daily,South America
32-42,24,fit,Female,Healthcare,Remote,Poor,Low,No,Weekly,South America
>42,49,ill,Other,Retail,Remote,Poor,Low,No,Weekly,Europe
>42,33,ill,Other,Healthcare,Onsite,Good,Low,Yes,Not At All,Africa
>42,27,ill,Other,IT,Remote,Average,Medium,No,Not At All,Asia
32-42,29,ill,Female,Retail,Hybrid,Good,Medium,No,Weekly,Oceania
>42,30,ill,Other,Education,Remote,Good,Medium,Yes,Weekly,Europe
22-32,24,ill,Female,Education,Onsite,Average,Low,Yes,Weekly,North America
>42,35,ill,Male,Retail,Onsite,Average,High,No,Daily,South America
22-32,25,fit,Other,Manufacturing,Onsite,Poor,High,Yes,Daily,Africa
22-32,31,fit,Male,Education,Onsite,Good,Low,Yes,Daily,Europe
32-42,57,ill,Other,Retail,Hybrid,Poor,Medium,Yes,Not At All,Africa
>42,27,ill,Other,Healthcare,Remote,Average,Medium,No,Weekly,Europe
>42,25,ill,Female,Education,Hybrid,Poor,High,No,Weekly,Africa
>42,47,ill,Other,Retail,Onsite,Average,High,No,Weekly,North America
>42,22,ill,Other,Education,Onsite,Good,Low,No,Weekly,Oceania
22-32,39,ill,Male,Education,Hybrid,Poor,Medium,No,Weekly,South America
>42,47,ill,Male,Consulting,Hybrid,Poor,Medium,Yes,Not At All,Asia
>42,50,ill,Male,Education,Remote,Poor,Low,No,Not At All,Europe
32-42,20,ill,Other,Retail,Remote,Poor,High,Yes,Weekly,Oceania
32-42,42,ill,Male,Manufacturing,Onsite,Poor,High,Yes,Weekly,Oceania
22-32,27,ill,Other,Manufacturing,Remote,Poor,High,Yes,Not At All,Africa
22-32,45,ill,Other,Consulting,Remote,Good,Low,Yes,Daily,Oceania
22-32,28,ill,Female,Manufacturing,Onsite,Average,Low,No,Not At All,Africa
32-42,47,fit,Other,Finance,Remote,Poor,High,No,Daily,Oceania
22-32,39,ill,Female,IT,Onsite,Good,High,Yes,Weekly,North America
32-42,37,ill,Other,IT,Onsite,Good,Low,No,Weekly,Europe
22-32,34,ill,Female,Finance,Onsite,Average,Medium,Yes,Not At All,Oceania
32-42,47,ill,Female,Education,Remote,Good,Medium,No,Not At All,North America
>42,24,ill,Female,Retail,Onsite,Average,High,Yes,Not At All,North America
>42,27,fit,Male,Consulting,Onsite,Good,Low,Yes,Not At All,Oceania
22-32,23,ill,Other,Consulting,Onsite,Average,High,Yes,Not At All,South America
>42,52,ill,Male,IT,Onsite,Average,Medium,No,Weekly,South America
>42,31,ill,Other,Healthcare,Remote,Average,High,Yes,Weekly,Africa
>42,39,ill,Male,IT,Onsite,Poor,Medium,No,Daily,Asia
>42,54,fit,Other,Healthcare,Remote,Poor,High,Yes,Daily,Asia
32-42,46,ill,Other,Finance,Onsite,Average,High,No,Daily,Europe
32-42,59,ill,Male,Retail,Hybrid,Poor,Medium,No,Weekly,North America
>42,32,ill,Male,Consulting,Hybrid,Average,Medium,No,Daily,Africa
>42,26,ill,Other,IT,Onsite,Poor,Medium,Yes,Weekly,Africa
>42,37,ill,Other,Retail,Onsite,Average,Medium,Yes,Daily,Europe
>42,59,ill,Other,Manufacturing,Remote,Poor,High,Yes,Daily,Europe
>42,38,ill,Other,Manufacturing,Remote,Poor,High,Yes,Weekly,Europe
>42,59,fit,Male,Manufacturing,Onsite,Poor,Low,No,Not At All,Europe
22-32,37,fit,Other,IT,Hybrid,Good,Medium,Yes,Weekly,South America
>42,26,ill,Other,Healthcare,Hybrid,Poor,High,No,Daily,Africa
22-32,41,ill,Male,Manufacturing,Remote,Poor,Low,Yes,Not At All,Europe
>42,56,fit,Female,Consulting,Onsite,Poor,Medium,No,Weekly,Asia
>42,48,ill,Female,Consulting,Hybrid,Good,High,Yes,Weekly,North America
>42,49,fit,Other,Finance,Onsite,Good,Low,No,Not At All,Asia
>42,47,ill,Other,Healthcare,Hybrid,Good,Medium,No,Daily,Africa
>42,54,ill,Other,Retail,Hybrid,Average,Low,Yes,Weekly,North America
22-32,33,ill,Male,Manufacturing,Hybrid,Average,Medium,Yes,Weekly,South America
>42,59,ill,Female,Finance,Hybrid,Good,Low,No,Not At All,Africa
>42,21,ill,Male,Retail,Onsite,Good,Low,Yes,Weekly,Africa
>42,41,fit,Other,Education,Onsite,Average,High,Yes,Weekly,Europe
>42,33,ill,Other,Retail,Remote,Poor,Medium,Yes,Not At All,Oceania
>42,22,ill,Other,Consulting,Hybrid,Poor,Low,No,Not At All,Africa
>42,21,ill,Female,Finance,Hybrid,Poor,Medium,No,Weekly,Europe
>42,29,ill,Female,Finance,Remote,Average,Medium,No,Weekly,North America
22-32,23,ill,Other,Healthcare,Hybrid,Average,Medium,No,Weekly,Asia
>42,36,ill,Other,IT,Remote,Good,High,Yes,Daily,Asia
>42,29,ill,Male,IT,Remote,Average,Low,Yes,Daily,Oceania
>42,37,ill,Other,Finance,Remote,Good,Low,Yes,Daily,Africa
>42,20,ill,Other,Consulting,Remote,Poor,Low,Yes,Not At All,Oceania
22-32,55,ill,Other,Education,Onsite,Good,Low,No,Weekly,Europe
>42,29,fit,Other,Healthcare,Hybrid,Average,High,No,Daily,North America
22-32,51,ill,Male,Education,Onsite,Poor,Medium,Yes,Not At All,Asia
>42,45,ill,Female,Retail,Remote,Good,High,No,Weekly,Oceania
>42,49,fit,Female,Education,Remote,Poor,High,No,Daily,Asia
32-42,21,fit,Male,Education,Hybrid,Good,Medium,Yes,Weekly,Asia
>42,40,fit,Female,IT,Hybrid,Poor,Low,No,Weekly,Oceania
32-42,53,ill,Other,IT,Onsite,Average,Medium,No,Daily,Africa
>42,30,ill,Female,Healthcare,Remote,Poor,Low,Yes,Daily,Oceania
22-32,54,ill,Male,Manufacturing,Onsite,Average,Low,No,Daily,Asia
22-32,47,ill,Male,Retail,Onsite,Average,Medium,No,Daily,Oceania
32-42,39,ill,Other,Manufacturing,Onsite,Good,Medium,Yes,Weekly,South America
32-42,20,ill,Female,Consulting,Remote,Average,Low,Yes,Daily,Oceania
22-32,30,ill,Other,Finance,Hybrid,Poor,High,Yes,Weekly,Asia
22-32,48,fit,Male,IT,Hybrid,Good,Medium,No,Daily,Africa
32-42,29,ill,Other,Retail,Hybrid,Good,Low,Yes,Weekly,North America
>42,54,ill,Male,Healthcare,Onsite,Good,Medium,No,Daily,North America
>42,41,ill,Male,Education,Hybrid,Poor,Low,Yes,Daily,Oceania
>42,47,ill,Other,Consulting,Onsite,Poor,Medium,No,Not At All,Asia
>42,50,ill,Male,Consulting,Onsite,Good,Low,Yes,Daily,Asia
>42,44,ill,Female,Healthcare,Onsite,Good,High,Yes,Not At All,Asia
>42,30,ill,Male,Consulting,Onsite,Average,Low,No,Daily,Europe
>42,30,ill,Other,Finance,Hybrid,Poor,Low,No,Daily,Oceania
22-32,40,ill,Male,Manufacturing,Onsite,Poor,Medium,No,Weekly,South America
32-42,47,ill,Female,Healthcare,Hybrid,Poor,High,No,Daily,Europe
22-32,34,fit,Male,Consulting,Remote,Good,Medium,No,Not At All,Oceania
22-32,52,ill,Other,Education,Remote,Average,High,Yes,Weekly,Africa
>42,25,ill,Other,Retail,Remote,Average,High,Yes,Daily,Oceania
>42,49,ill,Female,Consulting,Remote,Average,Low,No,Weekly,South America
>42,59,ill,Male,Finance,Remote,Poor,Low,No,Weekly,South America
22-32,60,ill,Male,Retail,Onsite,Good,Medium,No,Daily,Oceania
>42,38,ill,Female,Finance,Remote,Poor,Low,Yes,Not At All,Oceania
>42,31,fit,Other,Finance,Remote,Good,High,Yes,Weekly,Africa
>42,48,fit,Female,IT,Onsite,Average,Medium,Yes,Daily,North America
>42,50,ill,Other,Finance,Remote,Good,Medium,Yes,Daily,Asia
>42,50,ill,Other,Healthcare,Hybrid,Good,High,Yes,Weekly,Europe
>42,46,fit,Other,Consulting,Remote,Poor,Medium,Yes,Daily,Europe
>42,59,ill,Female,Consulting,Hybrid,Poor,Low,Yes,Not At All,Asia
>42,55,fit,Female,Healthcare,Hybrid,Good,Medium,No,Weekly,Asia
>42,38,ill,Other,Consulting,Remote,Average,Medium,No,Weekly,South America
22-32,36,ill,Other,Retail,Hybrid,Good,High,Yes,Weekly,North America
>42,33,ill,Other,Retail,Hybrid,Poor,Low,No,Weekly,South America
>42,31,ill,Male,Finance,Hybrid,Poor,Low,No,Not At All,Asia
22-32,44,fit,Other,Education,Onsite,Poor,Medium,No,Weekly,Oceania
22-32,22,fit,Other,Manufacturing,Remote,Average,Low,Yes,Daily,Africa
32-42,32,ill,Female,Education,Onsite,Average,High,Yes,Weekly,North America
>42,33,ill,Male,Consulting,Onsite,Good,Medium,Yes,Not At All,Europe
22-32,44,ill,Female,Healthcare,Hybrid,Average,Low,No,Not At All,North America
32-42,57,ill,Male,Manufacturing,Onsite,Poor,High,Yes,Not At All,Oceania
22-32,54,ill,Other,Retail,Remote,Good,High,No,Daily,Africa
>42,45,ill,Female,Education,Hybrid,Poor,Medium,No,Not At All,South America
>42,48,ill,Other,Education,Hybrid,Poor,High,Yes,Weekly,Africa
>42,42,ill,Other,Education,Remote,Poor,Low,No,Daily,Asia
>42,38,ill,Female,Healthcare,Hybrid,Poor,Medium,Yes,Weekly,Oceania
>42,59,fit,Other,Finance,Hybrid,Good,Low,No,Not At All,Europe
>42,28,ill,Female,Finance,Hybrid,Average,Low,Yes,Daily,South America
22-32,34,ill,Other,IT,Onsite,Average,Low,Yes,Not At All,South America
>42,29,fit,Female,Consulting,Hybrid,Poor,High,Yes,Not At All,Africa
22-32,48,ill,Other,Retail,Onsite,Average,High,No,Not At All,Asia
32-42,51,ill,Female,IT,Onsite,Average,Low,No,Daily,Asia
>42,37,ill,Other,IT,Hybrid,Average,Medium,No,Daily,Oceania
32-42,32,ill,Other,IT,Onsite,Good,Low,Yes,Daily,North America
22-32,40,ill,Female,Manufacturing,Onsite,Poor,Low,Yes,Weekly,North America
>42,25,ill,Female,Consulting,Remote,Poor,Low,No,Daily,Africa
>42,34,ill,Female,Retail,Remote,Poor,Low,No,Not At All,Europe
>42,55,ill,Female,Consulting,Onsite,Good,Medium,No,Not At All,North America
>42,22,ill,Female,IT,Hybrid,Good,High,No,Weekly,Africa
32-42,57,ill,Male,Retail,Onsite,Poor,Medium,No,Weekly,Asia
32-42,60,ill,Other,Education,Onsite,Good,High,Yes,Weekly,Asia
32-42,40,ill,Male,Healthcare,Remote,Good,Low,No,Not At All,Asia
>42,60,ill,Male,Finance,Remote,Average,High,Yes,Not At All,Asia
32-42,31,fit,Other,IT,Remote,Poor,High,Yes,Weekly,South America
22-32,55,ill,Other,Healthcare,Remote,Poor,Medium,Yes,Daily,North America
>42,40,ill,Female,IT,Hybrid,Poor,High,Yes,Weekly,Asia
>42,53,fit,Other,IT,Remote,Poor,Low,Yes,Not At All,Oceania
32-42,34,ill,Male,Manufacturing,Remote,Good,Medium,No,Not At All,Europe
>42,23,ill,Female,Education,Hybrid,Average,Low,Yes,Daily,South America
22-32,54,ill,Female,Finance,Onsite,Poor,Medium,No,Daily,North America
32-42,29,ill,Other,IT,Hybrid,Average,High,No,Daily,Europe
>42,40,ill,Other,Consulting,Hybrid,Good,Low,No,Not At All,South America
22-32,22,ill,Male,Retail,Remote,Average,Medium,No,Weekly,Europe
32-42,22,fit,Other,Retail,Onsite,Poor,High,No,Not At All,South America
32-42,48,ill,Female,Education,Onsite,Average,Low,No,Weekly,Africa
22-32,22,ill,Other,IT,Hybrid,Average,Low,Yes,Daily,North America
>42,28,ill,Other,IT,Onsite,Average,Low,Yes,Daily,Asia
22-32,43,ill,Male,Retail,Remote,Good,High,Yes,Weekly,Asia
>42,49,ill,Other,IT,Hybrid,Good,Medium,Yes,Not At All,Africa
>42,20,ill,Male,Consulting,Remote,Poor,Medium,Yes,Weekly,North America
>42,24,ill,Female,Education,Hybrid,Good,Medium,Yes,Weekly,Africa
>42,24,ill,Other,Healthcare,Remote,Average,Medium,No,Weekly,Africa
>42,47,fit,Other,Consulting,Onsite,Poor,Medium,Yes,Weekly,North America
>42,30,ill,Other,Finance,Hybrid,Good,Medium,No,Not At All,South America
32-42,50,ill,Female,IT,Onsite,Poor,High,Yes,Weekly,Asia
>42,34,ill,Other,Retail,Onsite,Good,High,Yes,Daily,Asia
>42,55,fit,Female,Finance,Remote,Average,Medium,Yes,Weekly,North America
>42,55,ill,Male,Education,Remote,Good,Medium,Yes,Not At All,North America
32-42,45,fit,Female,Retail,Onsite,Good,Medium,No,Not At All,Oceania
>42,20,ill,Male,IT,Onsite,Good,Medium,No,Weekly,North America
22-32,59,ill,Male,IT,Remote,Average,Low,Yes,Daily,North America
32-42,32,fit,Other,IT,Remote,Good,Medium,No,Weekly,Oceania
22-32,25,fit,Female,Manufacturing,Onsite,Poor,High,Yes,Weekly,Oceania
>42,30,ill,Male,Finance,Hybrid,Poor,Low,Yes,Weekly,Europe
>42,33,ill,Male,Manufacturing,Hybrid,Good,Low,No,Daily,Africa
>42,58,ill,Female,Consulting,Remote,Average,Low,Yes,Daily,North America
22-32,55,ill,Other,IT,Remote,Poor,Medium,Yes,Weekly,North America
>42,58,ill,Other,Retail,Onsite,Average,High,Yes,Daily,Asia
>42,34,ill,Male,Healthcare,Onsite,Poor,Low,No,Not At All,North America
>42,36,fit,Male,IT,Onsite,Average,Low,Yes,Not At All,Africa
32-42,42,ill,Other,Finance,Onsite,Good,Medium,No,Daily,Europe
>42,22,fit,Other,Retail,Hybrid,Good,Medium,Yes,Weekly,Africa
32-42,52,ill,Other,Education,Hybrid,Average,Medium,Yes,Not At All,Europe
22-32,53,ill,Other,Education,Onsite,Average,High,Yes,Weekly,South America
22-32,37,ill,Other,Healthcare,Hybrid,Poor,High,Yes,Not At All,South America
22-32,55,ill,Other,Manufacturing,Onsite,Poor,Low,No,Weekly,Europe
32-42,42,ill,Female,Healthcare,Remote,Average,High,No,Daily,North America
22-32,55,fit,Other,IT,Onsite,Poor,Medium,Yes,Weekly,Africa
>42,42,ill,Other,Manufacturing,Hybrid,Average,Low,Yes,Not At All,Africa
>42,39,ill,Other,Manufacturing,Hybrid,Good,Low,No,Not At All,Oceania
32-42,54,ill,Female,Consulting,Hybrid,Poor,High,No,Weekly,North America
>42,28,ill,Other,Education,Onsite,Poor,High,No,Daily,Oceania
32-42,44,fit,Other,IT,Onsite,Good,Low,No,Not At All,North America
>42,36,ill,Female,Finance,Onsite,Poor,Low,No,Weekly,North America
22-32,20,ill,Other,Manufacturing,Remote,Good,Low,Yes,Not At All,South America
22-32,42,fit,Female,Manufacturing,Onsite,Good,High,Yes,Not At All,North America
>42,24,ill,Other,IT,Remote,Poor,Medium,No,Daily,Africa
32-42,48,ill,Female,Education,Hybrid,Good,Low,Yes,Not At All,Asia
32-42,30,ill,Other,IT,Hybrid,Good,Low,No,Weekly,Oceania
32-42,27,ill,Male,Manufacturing,Onsite,Poor,Low,No,Not At All,North America
32-42,24,ill,Female,Consulting,Hybrid,Poor,Low,Yes,Not At All,Africa
22-32,42,fit,Other,Healthcare,Remote,Good,Low,Yes,Daily,South America
22-32,53,ill,Other,IT,Remote,Average,High,Yes,Daily,Asia
22-32,34,ill,Male,Retail,Hybrid,Good,Medium,Yes,Weekly,Europe
22-32,42,ill,Male,Retail,Onsite,Average,Low,Yes,Weekly,South America
22-32,25,ill,Other,Manufacturing,Hybrid,Good,Medium,Yes,Weekly,Africa
>42,30,ill,Other,Consulting,Hybrid,Poor,Low,No,Weekly,Asia
22-32,27,ill,Other,Finance,Hybrid,Average,Medium,Yes,Weekly,Asia
32-42,27,ill,Other,Retail,Hybrid,Poor,Low,Yes,Daily,North America
32-42,56,fit,Other,Manufacturing,Hybrid,Good,Medium,No,Not At All,Oceania
>42,30,ill,Male,Retail,Onsite,Good,High,Yes,Not At All,North America
>42,40,ill,Other,Healthcare,Onsite,Average,Medium,Yes,Weekly,South America
>42,57,ill,Other,Retail,Hybrid,Good,Low,Yes,Daily,Oceania
32-42,46,ill,Other,Retail,Remote,Poor,Low,No,Weekly,Europe
22-32,38,fit,Male,Consulting,Remote,Good,High,Yes,Weekly,Oceania
>42,47,ill,Male,Healthcare,Hybrid,Average,Low,No,Daily,Europe
>42,22,fit,Male,Finance,Remote,Average,High,No,Weekly,South America
32-42,34,ill,Other,Manufacturing,Onsite,Poor,Low,Yes,Daily,Oceania
32-42,46,ill,Male,Finance,Hybrid,Average,Low,No,Not At All,Oceania
22-32,28,ill,Other,Healthcare,Onsite,Average,Medium,No,Not At All,Africa
>42,35,ill,Other,Manufacturing,Onsite,Average,Low,Yes,Daily,Africa
22-32,23,ill,Female,Retail,Hybrid,Average,Medium,Yes,Daily,Europe
>42,36,ill,Female,IT,Onsite,Good,High,No,Daily,South America
>42,45,ill,Other,Retail,Hybrid,Average,Low,Yes,Daily,Oceania
22-32,39,fit,Other,Retail,Remote,Poor,High,No,Weekly,Oceania
22-32,55,fit,Other,Education,Hybrid,Poor,Low,No,Daily,Africa
>42,26,fit,Female,Education,Remote,Good,Low,Yes,Not At All,North America
22-32,51,fit,Male,Consulting,Remote,Average,Medium,No,Weekly,Oceania
22-32,20,ill,Other,Finance,Remote,Average,Low,Yes,Daily,North America
32-42,46,fit,Other,Education,Remote,Good,Medium,Yes,Not At All,Oceania
32-42,31,ill,Female,Consulting,Onsite,Good,Medium,No,Weekly,Europe
>42,56,ill,Female,Consulting,Onsite,Poor,Medium,Yes,Weekly,North America
22-32,52,ill,Other,Education,Hybrid,Good,High,Yes,Weekly,South America
22-32,53,ill,Female,Finance,Onsite,Good,Medium,No,Not At All,South America
>42,30,fit,Female,Retail,Hybrid,Good,Low,No,Not At All,Oceania
